115,116,118,65,66,66,66,66,66,66,66,66,67,118,115,116,
131,132,134,81,82,85,85,82,85,82,82,82,86,134,131,132,
203,203,203,87,88,88,88,88,88,88,88,88,89,203,203,203,
0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,203,203,0,0,0,0,0,0,0,0,0,0,0,
0,0,203,0,0,203,0,0,0,0,203,0,0,203,0,0,
0,0,207,0,0,207,0,0,0,0,207,0,0,207,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,203,0,0,203,0,0,0,0,203,0,0,203,0,0,
0,0,207,0,0,207,0,0,0,0,207,0,0,207,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,203,0,0,203,0,0,0,0,203,0,0,203,0,0,
0,0,207,0,0,207,0,0,0,0,207,0,0,207,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
129,130,18,251,0,252,253,25,7,51,134,131,132,134,207,207
