520,521,522,520,520,521,522,522,522,522,522,522,522,522,522,520,520,520,521,522,554,522,554,522,522,522,522,522,522,554,554,552,
520,520,520,520,521,522,554,522,554,522,522,522,520,520,520,521,522,554,522,554,522,522,522,522,522,522,522,522,522,522,522,522,
552,552,552,552,520,520,520,520,521,520,520,520,521,522,554,522,554,522,522,522,522,522,522,522,522,554,554,554,554,554,554,554,
520,521,522,522,552,552,520,520,520,521,522,554,522,554,522,522,522,522,522,522,522,522,554,554,554,552,552,552,552,552,552,552,
521,522,554,520,520,520,521,522,554,522,554,522,522,522,522,522,522,522,522,554,554,554,552,552,552,522,522,522,522,522,522,522,
522,520,520,520,521,522,554,522,554,522,522,522,522,522,522,522,554,554,554,552,552,552,522,522,522,520,520,520,520,520,520,520,
520,520,520,521,522,554,522,554,522,522,522,522,522,522,554,554,552,552,552,522,522,522,520,520,520,552,552,552,552,552,552,552,
520,521,522,554,522,554,522,522,522,522,522,522,522,554,552,552,522,522,522,520,520,520,552,552,552,553,553,553,553,553,553,553,
521,522,554,522,554,522,522,522,522,522,522,554,554,552,522,522,520,520,520,552,552,552,553,553,553,554,554,554,554,554,554,554,
522,554,522,554,522,522,522,522,522,522,554,552,552,522,520,520,552,552,552,553,553,553,554,554,554,554,554,554,554,554,554,554,
554,522,554,522,522,522,522,522,522,554,552,522,522,520,552,552,553,553,553,554,554,554,554,554,554,554,554,554,554,554,554,554,
554,522,554,522,522,522,522,522,522,552,522,520,520,552,553,553,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,
522,554,522,522,522,522,522,522,554,522,520,552,552,553,554,554,554,554,554,554,554,554,554,554,554,552,552,552,552,520,520,552,
554,522,522,522,522,522,522,554,552,520,552,553,553,554,554,554,554,554,554,554,554,554,522,522,554,554,521,522,552,552,552,552,
522,522,522,522,522,522,554,552,522,552,553,554,554,554,554,554,554,554,554,522,522,522,522,522,522,554,521,522,521,522,552,552,
522,522,522,522,522,522,552,522,520,553,554,554,554,554,554,554,521,522,554,522,554,522,522,522,522,522,522,522,520,521,522,552,
522,522,522,522,522,522,522,520,520,520,520,521,522,554,522,554,522,522,522,522,522,522,522,522,522,520,520,520,552,521,521,522,
522,522,522,522,522,520,520,520,521,522,554,522,554,522,522,522,522,522,522,522,522,554,554,554,554,522,522,522,522,522,554,521,
522,522,522,520,520,520,521,522,554,522,554,522,522,522,522,522,522,522,554,554,554,552,552,552,552,554,554,554,554,554,522,522,
554,522,522,522,522,522,522,522,522,522,522,522,520,520,520,521,522,554,522,554,522,522,522,522,522,522,552,552,552,552,554,554,
554,522,522,522,522,522,522,554,554,554,554,554,552,552,552,520,520,520,520,521,522,554,554,554,554,554,522,522,522,522,552,552,
522,554,522,522,522,522,522,522,552,552,552,552,521,522,522,552,552,552,552,520,520,521,522,552,552,552,554,554,522,522,522,522,
554,522,554,522,522,522,522,522,522,522,522,522,522,554,520,520,552,552,552,552,552,520,520,520,521,522,552,552,554,522,522,522,
520,520,521,522,554,522,554,522,522,522,522,522,554,522,552,552,553,554,554,552,553,552,552,552,520,520,522,522,552,554,554,554,
520,520,520,520,520,520,521,522,554,522,554,522,521,520,521,522,520,520,520,520,552,552,552,553,552,552,520,520,522,552,552,552,
552,552,552,552,520,520,520,520,520,520,520,520,522,522,522,520,520,552,552,552,553,554,520,520,552,553,552,552,520,522,522,522,
521,521,521,521,552,552,552,552,552,552,552,552,522,554,554,552,552,553,554,520,552,552,552,552,553,554,553,553,552,520,520,520,
522,522,522,522,521,521,521,521,521,521,521,521,520,520,520,520,552,552,552,552,553,554,520,552,553,554,554,554,553,552,552,552,
554,554,554,554,522,522,522,522,522,522,522,522,552,552,552,552,553,554,521,522,520,552,552,553,554,554,554,554,554,553,553,553,
521,521,521,521,554,554,554,554,554,554,554,554,521,522,552,552,552,552,520,520,552,553,554,553,554,554,554,554,554,554,554,554,
522,522,522,522,521,521,521,521,521,521,521,521,521,521,522,552,552,552,552,520,520,552,553,554,553,554,554,554,554,554,554,554,
522,522,522,522,522,522,522,522,522,522,522,522,522,522,521,522,552,552,552,552,520,520,552,553,554,553,554,554,554,554,554,554
